af	afribooms
grc	proiel
ar	padt
hy	armtdp
eu	bdt
be	hse
bg	btb
bxr	bdt
ca	ancora
zh	gsdsimp
zh-hant	gsd
lzh	kyoto
cop	scriptorium
hr	set
cs	pdt
da	ddt
nl	alpino	
en	ewt
et	edt
fi	tdt
fr	gsd	
gl	ctg	
de	hdt
got	proiel
el	gdt
he	htb
hi	hdtb
hu	szeged
id	gsd
ga	idt
it	isdt
is	icepahc
ja	gsd
kk	ktb
ko	gsd
kmr	mg
la	ittb
lv	lvtb
lt	alksnis
olo	kkpp
mt	mudt
mr	ufal
sme	giella
no	bokmaal
nn	nynorsk	
cu	proiel
fro	srcmf
orv	torot
fa	seraji
pl	pdb
pt	bosque
ro	rrt
ru	syntagrus	
gd	arcosg
sr	set
sk	snk
sl	ssj
es	gsd
sv	talbanken
swl	sslc
ta	ttb
te	mtg
tr	imst
uk	iu
hsb	ufal
ur	udtb
ug	udt
vi	vtb
wo	wtb
fo	oft
pcm	nsc
sa	vedic
cy	ccg
